SampleId,SampleType,McCabeCyclomaticComplexity,LinesOfCodeInCallable,NumberOfLambdaExpressionsInCallable,NumberOfMethodReferencesPerCallable
5771277,CONSTRUCTOR,1,2,0,0
5788107,METHOD,1,3,0,0
5788583,METHOD,1,10,0,0
5798354,METHOD,1,3,0,0
5798489,CONSTRUCTOR,1,3,0,0
5800930,METHOD,1,3,0,0
5809960,METHOD,1,3,0,0
5828765,METHOD,2,10,0,0
5841731,METHOD,1,3,0,0
5840527,METHOD,9,37,0,0
5839532,METHOD,4,15,0,0
5839980,METHOD,10,27,0,0
5855589,METHOD,2,6,0,0
5855387,METHOD,2,9,0,0
5857311,METHOD,2,9,0,0
5858827,METHOD,1,4,0,0
5875574,METHOD,1,3,0,0
5904263,METHOD,1,3,0,0
5904455,METHOD,1,4,0,0
5904841,METHOD,2,3,0,0
5922177,METHOD,6,27,0,0
5939437,METHOD,2,6,0,0
5939683,METHOD,1,3,0,0
5939954,CONSTRUCTOR,16,119,0,0
6005367,METHOD,1,3,0,0
6010673,METHOD,1,3,0,0
6009570,CONSTRUCTOR,1,3,0,0
5939530,METHOD,2,8,0,0
6016779,CONSTRUCTOR,1,3,0,0
6051478,METHOD,1,3,0,0
6073975,METHOD,1,3,0,0
6177738,METHOD,3,10,0,0
6179494,CONSTRUCTOR,1,4,0,0
6179505,METHOD,1,3,0,0
6183429,METHOD,3,10,0,0
6182357,METHOD,1,3,0,0
6190083,METHOD,1,3,0,0
6198340,METHOD,3,10,0,0
6212569,METHOD,1,9,0,0
6212333,METHOD,1,3,0,0
6212329,METHOD,1,3,0,0
6236496,METHOD,3,20,0,0
6234592,METHOD,5,28,0,0
6241200,CONSTRUCTOR,1,3,0,0
6246396,METHOD,1,3,0,0
6244944,METHOD,2,12,0,0
6244777,METHOD,1,3,0,0
6247819,CONSTRUCTOR,1,2,0,0
6250253,METHOD,1,3,0,0
6286234,CONSTRUCTOR,1,3,0,0
6298870,METHOD,1,3,0,0
6306007,METHOD,1,3,0,0
6299837,METHOD,5,21,0,0
6312967,METHOD,1,3,0,0
6328926,METHOD,1,3,0,0
6328915,METHOD,1,3,0,0
6328221,METHOD,4,14,0,0
6329210,METHOD,1,5,0,0
6329948,METHOD,3,8,0,0
6329418,METHOD,1,3,0,0
6340833,METHOD,2,3,0,0
6310723,METHOD,8,13,0,0
6341238,METHOD,2,10,0,0
6311678,METHOD,1,4,0,0
6431408,METHOD,1,3,0,0
6435518,METHOD,1,3,0,0
6442583,METHOD,13,73,0,0
6457553,METHOD,4,15,0,0
6458156,CONSTRUCTOR,1,3,0,0
6457258,METHOD,4,17,0,0
6459500,CONSTRUCTOR,1,4,0,0
6457764,METHOD,2,5,0,0
6487817,METHOD,1,3,0,0
6491821,CONSTRUCTOR,1,3,0,0
6492213,CONSTRUCTOR,1,3,0,0
6502815,CONSTRUCTOR,1,3,0,0
6458150,METHOD,1,3,0,0
6486798,METHOD,4,17,0,0
6515617,METHOD,5,20,0,0
6513603,CONSTRUCTOR,1,4,0,0
6518475,METHOD,1,3,0,0
6515344,METHOD,1,3,0,0
6521680,METHOD,1,3,0,0
6533221,METHOD,3,10,0,0
6493734,METHOD,1,6,0,0
6536605,METHOD,1,4,0,0
6537117,METHOD,3,7,0,0
6546622,METHOD,1,3,0,0
6533723,METHOD,1,3,0,0
6578382,METHOD,1,12,0,0
6579602,METHOD,10,41,0,0
6623499,METHOD,1,3,0,0
6623370,METHOD,1,3,0,0
6606189,METHOD,2,8,0,0
6624087,METHOD,1,3,0,0
6632662,METHOD,1,3,0,0
6633155,METHOD,3,10,0,0
6632851,METHOD,1,3,0,0
6164700,CONSTRUCTOR,1,7,0,0
6893083,METHOD,1,3,0,0
6165484,METHOD,1,3,0,0
6892868,METHOD,1,3,0,0
6915312,METHOD,1,3,0,0
6920891,METHOD,1,3,0,0
6915447,METHOD,1,3,0,0
6921162,METHOD,1,3,0,0
6680697,METHOD,1,4,0,0
6921833,METHOD,2,7,0,0
6923759,METHOD,4,12,0,0
6917328,METHOD,3,13,0,0
6939776,METHOD,2,5,0,0
6940151,METHOD,1,3,0,0
6920597,METHOD,1,3,0,0
6985429,METHOD,2,3,0,0
6920454,METHOD,5,24,0,0
7022945,METHOD,1,4,0,0
6923170,METHOD,1,5,0,0
7031904,CONSTRUCTOR,1,3,0,0
7023392,METHOD,5,17,0,0
7030976,METHOD,1,4,0,0
7001897,METHOD,2,8,0,0
7032580,METHOD,1,3,0,0
7023035,CONSTRUCTOR,2,12,0,0
7038229,METHOD,1,4,0,0
7030257,CONSTRUCTOR,1,16,0,0
7074267,METHOD,1,3,0,0
7076341,CONSTRUCTOR,1,3,0,0
7078266,CONSTRUCTOR,2,6,0,0
7074998,METHOD,2,8,0,0
7402299,METHOD,1,3,0,0
7119679,METHOD,1,3,0,0
7120110,METHOD,1,3,0,0
7074773,METHOD,1,3,0,0
7121075,METHOD,1,3,0,0
7085469,METHOD,1,3,0,0
7142098,METHOD,1,3,0,0
7141504,METHOD,2,6,0,0
7085407,METHOD,6,32,0,0
7155736,METHOD,1,3,0,0
7156819,METHOD,1,4,0,0
7137322,METHOD,1,3,0,0
7198476,METHOD,2,11,0,0
7198785,METHOD,1,5,0,0
7196784,METHOD,1,3,0,0
7197017,METHOD,1,3,0,0
7197198,METHOD,2,11,0,0
7205422,METHOD,1,5,0,0
7204833,METHOD,1,3,0,0
7204338,METHOD,1,5,0,0
7204508,METHOD,1,3,0,0
7205731,METHOD,1,5,0,0
7205348,METHOD,1,5,0,0
7210387,METHOD,2,6,0,0
7205580,METHOD,4,19,0,0
7201768,METHOD,5,32,0,0
7215246,METHOD,1,3,0,0
7404871,METHOD,1,3,0,0
7214745,METHOD,1,4,0,0
7229219,METHOD,1,4,0,0
7229362,METHOD,1,3,0,0
7231342,METHOD,2,6,0,0
7238349,METHOD,4,19,0,0
7209681,METHOD,1,3,0,0
7231644,METHOD,2,15,0,0
7272514,METHOD,1,3,0,0
7273316,CONSTRUCTOR,1,3,0,0
7273013,METHOD,2,11,0,0
7273813,METHOD,1,3,0,0
7279538,METHOD,1,3,0,0
7278060,CONSTRUCTOR,1,5,0,0
7279934,METHOD,2,7,0,0
7294696,METHOD,1,6,0,0
7294753,METHOD,1,4,0,0
7294889,METHOD,1,5,0,0
7205803,METHOD,2,7,0,0
7197581,METHOD,5,32,0,0
7357164,METHOD,1,3,0,0
7356682,METHOD,1,3,0,0
7359431,METHOD,1,3,0,0
7357470,CONSTRUCTOR,1,3,0,0
7374308,METHOD,1,3,0,0
7374061,METHOD,1,3,0,0
7357208,CONSTRUCTOR,2,8,0,0
7373962,CONSTRUCTOR,1,3,0,0
7356604,METHOD,1,3,0,0
7374084,CONSTRUCTOR,1,4,0,0
7375322,METHOD,1,3,0,0
7356984,METHOD,10,35,0,0
7373719,METHOD,1,10,0,0
7377589,METHOD,1,3,1,0
7377189,METHOD,5,17,0,0
6834699,METHOD,1,3,0,0
6839966,METHOD,1,3,0,0
6785745,METHOD,2,6,0,0
6840313,METHOD,1,3,0,0
6840403,CONSTRUCTOR,1,7,0,0
6790483,METHOD,4,12,0,0
6860231,METHOD,1,3,0,0
6839392,METHOD,1,3,0,0
6864294,METHOD,1,3,0,0
7410586,METHOD,1,6,0,0
7409821,METHOD,1,3,0,0
7410446,METHOD,1,3,0,0
7409026,METHOD,1,4,1,1
7426271,METHOD,1,3,0,0
7424019,CONSTRUCTOR,1,5,0,0
7422066,METHOD,1,3,0,0
7448715,METHOD,4,17,0,0
7451785,CONSTRUCTOR,1,4,0,0
7451343,CONSTRUCTOR,1,3,0,0
7454470,METHOD,4,17,0,0
7454233,METHOD,2,6,0,0
7458584,METHOD,1,3,0,0
7424164,METHOD,1,7,0,0
7469146,CONSTRUCTOR,1,3,0,0
7473205,CONSTRUCTOR,1,2,0,0
7478016,METHOD,2,7,0,0
7483452,CONSTRUCTOR,1,2,0,0
7483890,CONSTRUCTOR,1,2,0,0
7483476,CONSTRUCTOR,1,2,0,0
7485370,CONSTRUCTOR,1,2,0,0
7484147,CONSTRUCTOR,1,4,0,0
7486125,METHOD,1,3,0,0
7496171,METHOD,1,3,0,0
7501823,METHOD,1,4,0,0
8039190,METHOD,1,12,0,0
7515654,METHOD,1,3,0,0
7513758,METHOD,1,4,0,0
7513487,CONSTRUCTOR,1,3,0,0
7523131,METHOD,1,2,0,0
7517076,METHOD,1,3,0,0
7522826,METHOD,2,11,0,0
7528643,CONSTRUCTOR,1,3,0,0
7540579,METHOD,1,5,1,0
7526716,METHOD,1,3,0,0
7525975,METHOD,6,21,0,0
7542000,METHOD,1,5,1,0
7539853,METHOD,1,4,0,0
7551760,METHOD,1,3,0,0
7539445,METHOD,4,16,0,0
7577346,METHOD,2,9,0,0
7538101,METHOD,1,3,0,0
7576371,METHOD,26,73,0,0
7589426,CONSTRUCTOR,2,5,0,0
7588699,METHOD,1,3,0,0
7588956,CONSTRUCTOR,10,54,0,0
7599926,METHOD,1,6,0,0
7628549,METHOD,1,3,0,0
7627967,METHOD,4,12,0,0
7625090,METHOD,1,3,0,0
7540312,METHOD,1,5,0,0
7628757,METHOD,1,9,0,0
7656657,METHOD,2,3,0,0
7671918,METHOD,1,3,0,0
7678894,METHOD,1,5,0,0
8044671,METHOD,2,7,0,0
7711083,METHOD,1,5,0,0
7718229,METHOD,1,3,0,0
7720851,METHOD,1,11,0,0
7720540,METHOD,1,3,0,0
7725751,METHOD,1,4,0,0
7727470,CONSTRUCTOR,2,12,0,0
7748712,METHOD,1,3,0,0
7747391,METHOD,2,8,0,0
7747898,METHOD,1,3,0,0
7725810,METHOD,4,18,0,0
7755095,METHOD,1,3,0,0
7759750,METHOD,1,3,0,0
7747392,METHOD,1,3,0,0
7748135,METHOD,3,8,0,0
7577692,METHOD,4,11,0,0
7760290,METHOD,1,9,0,0
7786250,METHOD,1,3,0,0
7784926,METHOD,1,3,0,0
7767021,METHOD,2,8,0,0
7829822,METHOD,1,3,0,0
7834476,METHOD,1,3,0,0
7855032,METHOD,2,7,0,0
7880496,METHOD,1,6,0,0
7880833,METHOD,3,12,0,0
7883291,METHOD,1,3,0,0
7883024,CONSTRUCTOR,1,3,0,0
7885799,METHOD,1,3,0,0
7900059,METHOD,1,3,0,0
7902148,METHOD,1,3,0,0
7777067,METHOD,2,11,1,0
7902495,METHOD,3,10,0,0
7910366,METHOD,1,3,0,0
7882655,METHOD,12,58,0,0
7929441,CONSTRUCTOR,1,3,0,0
8009118,CONSTRUCTOR,1,2,0,0
8009299,CONSTRUCTOR,1,3,0,0
8017975,METHOD,3,11,0,0
8025832,METHOD,1,3,0,0
8025955,CONSTRUCTOR,1,3,0,0
8026786,METHOD,1,3,0,0
8027029,METHOD,1,3,0,0
8049687,METHOD,3,18,0,0
8048739,METHOD,1,3,0,0
8049248,METHOD,5,15,0,0
8050493,METHOD,1,3,0,0
8052959,METHOD,2,21,0,0
8049874,METHOD,4,23,0,0
8049607,CONSTRUCTOR,3,22,0,0
8080847,METHOD,5,28,0,0
8088678,METHOD,2,7,0,0
8155972,METHOD,1,4,0,0
8092397,METHOD,6,20,0,0
8169457,METHOD,1,3,0,0
8070913,METHOD,2,5,0,0
8199173,METHOD,1,3,0,0
8201369,METHOD,1,3,0,0
8200621,METHOD,1,3,0,0
8201390,METHOD,1,3,0,0
8201469,CONSTRUCTOR,1,3,0,0
8211343,METHOD,1,3,0,0
8213437,METHOD,1,4,0,0
8226389,METHOD,1,3,0,0
8260696,METHOD,1,3,0,0
8261354,METHOD,1,3,0,0
8334754,METHOD,2,8,0,0
8334400,METHOD,1,2,0,0
8333175,METHOD,3,12,0,0
8334098,METHOD,1,12,0,0
8417770,METHOD,1,3,0,0
8419610,METHOD,1,4,0,0
8418552,METHOD,3,5,0,0
8423791,METHOD,1,3,0,0
8422970,METHOD,1,3,0,0
8423865,METHOD,1,3,0,0
8424288,CONSTRUCTOR,1,3,0,0
8423835,METHOD,1,3,0,0
8429775,METHOD,1,3,0,0
8431225,METHOD,2,6,0,0
8430479,METHOD,1,3,0,0
8430991,METHOD,1,3,0,0
8389037,METHOD,6,30,0,0
8432596,METHOD,1,3,0,0
8432784,CONSTRUCTOR,1,12,0,0
8436618,METHOD,1,6,0,0
8435790,CONSTRUCTOR,1,5,0,0
3700134,CONSTRUCTOR,2,6,0,0
3698860,METHOD,1,3,0,0
3698602,METHOD,1,3,0,0
3698665,METHOD,1,4,0,0
3699227,METHOD,1,3,0,0
3701417,METHOD,2,6,0,0
3709545,METHOD,1,3,0,0
3753086,METHOD,1,3,0,0
3753095,METHOD,1,3,0,0
3849158,METHOD,1,3,0,0
3848916,METHOD,1,3,0,0
3856345,METHOD,4,14,0,0
3856911,METHOD,1,5,0,0
3857363,METHOD,2,5,0,0
3868110,METHOD,2,5,0,0
3868603,METHOD,1,2,0,0
3871308,METHOD,1,3,0,0
3870545,METHOD,1,4,0,0
3875995,METHOD,1,3,0,0
3877056,METHOD,3,11,0,0
3876033,CONSTRUCTOR,1,5,0,0
3875268,CONSTRUCTOR,1,2,0,0
3879673,CONSTRUCTOR,1,2,0,0
3879070,METHOD,2,3,0,0
3904736,METHOD,2,9,0,0
3918098,METHOD,1,3,0,0
3919083,METHOD,1,3,0,0
3917525,METHOD,1,3,0,0
3918920,METHOD,1,3,0,0
3917547,METHOD,1,4,0,0
3920271,METHOD,2,3,0,0
3921684,METHOD,1,3,0,0
3922485,METHOD,2,11,0,0
3924383,CONSTRUCTOR,1,2,0,0
3924454,METHOD,1,3,0,0
3927368,METHOD,3,12,0,0
3926825,METHOD,1,3,0,0
3945199,METHOD,1,2,0,0
3947756,METHOD,2,6,0,0
8455135,CONSTRUCTOR,1,5,0,0
3952980,METHOD,1,3,0,0
8497990,METHOD,5,19,0,0
8496550,CONSTRUCTOR,1,3,0,0
8501404,METHOD,1,3,0,0
8515408,METHOD,3,11,0,0
8514290,METHOD,3,8,0,0
8521588,CONSTRUCTOR,1,11,0,0
8536673,METHOD,1,3,0,0
8537951,METHOD,1,3,0,0
8574983,METHOD,1,3,0,0
8574365,CONSTRUCTOR,1,6,0,0
8575719,CONSTRUCTOR,1,5,0,0
8574748,METHOD,2,14,0,0
8576209,CONSTRUCTOR,1,2,0,0
8574527,METHOD,1,3,0,0
8579440,METHOD,3,7,0,0
8579381,METHOD,2,10,0,0
8602161,METHOD,1,3,0,0
8601907,METHOD,1,3,0,3
8604349,METHOD,3,10,0,0
8644476,CONSTRUCTOR,1,5,0,0
8673459,METHOD,2,5,0,0
8690430,METHOD,1,3,0,0
8737414,METHOD,1,3,0,0
8756041,METHOD,3,11,0,0
8894917,METHOD,1,3,0,0
8894479,METHOD,1,3,0,0
8894429,METHOD,1,3,0,0
8894493,METHOD,1,3,0,0
8903115,METHOD,2,6,0,0
8902996,CONSTRUCTOR,1,2,0,0
8903716,CONSTRUCTOR,1,6,0,0
8901898,METHOD,1,3,0,0
8902566,METHOD,1,3,0,0
8904378,METHOD,1,3,0,0
8904876,METHOD,1,3,0,0
8904609,METHOD,2,14,0,0
8904560,METHOD,1,3,0,0
8904487,METHOD,2,10,0,0
8904717,CONSTRUCTOR,1,4,0,0
8904678,METHOD,3,10,0,0
8905843,METHOD,1,3,0,0
8907524,METHOD,3,11,0,0
8917167,METHOD,2,6,0,0
8922371,METHOD,15,65,0,0
8937384,METHOD,1,3,0,0
8953444,METHOD,1,3,0,0
8952306,METHOD,1,3,0,0
8962694,METHOD,2,5,0,0
8963199,METHOD,2,8,0,0
8969767,METHOD,2,32,0,0
8970572,METHOD,1,7,1,0
8972337,METHOD,1,3,0,0
8972057,METHOD,2,5,0,0
8997948,METHOD,4,17,0,0
9000671,METHOD,3,21,0,0
8999846,METHOD,2,6,0,0
8999751,METHOD,20,100,0,0
9007330,METHOD,1,3,0,0
9012946,METHOD,1,3,0,0
9012407,METHOD,12,42,0,0
9012151,METHOD,1,3,0,0
9013810,METHOD,1,4,0,0
9087427,CONSTRUCTOR,3,6,0,0
9094331,CONSTRUCTOR,1,4,0,0
9093538,METHOD,1,3,0,0
9093819,METHOD,1,3,0,0
9097530,CONSTRUCTOR,1,3,0,0
9097958,METHOD,1,3,0,0
9114817,METHOD,1,3,0,0
9143369,METHOD,1,3,0,0
3985516,METHOD,1,3,0,0
3987166,METHOD,1,3,0,0
3986050,METHOD,3,14,0,0
3986717,METHOD,10,38,0,0
3986210,METHOD,2,7,0,0
4003132,METHOD,1,3,0,0
4002437,METHOD,1,3,0,0
4002578,METHOD,2,7,0,0
4038375,CONSTRUCTOR,1,3,0,0
4038193,METHOD,1,3,0,0
4043468,CONSTRUCTOR,1,4,0,0
4043104,METHOD,1,4,0,0
4045122,METHOD,2,8,0,0
4045338,METHOD,1,5,0,0
4057866,METHOD,3,12,0,0
4057674,METHOD,1,3,0,0
4059172,METHOD,1,3,0,0
9160221,METHOD,4,10,0,0
4073835,CONSTRUCTOR,1,4,0,0
4073701,METHOD,3,11,0,0
4072654,METHOD,2,7,0,0
4072597,METHOD,1,6,0,0
4075888,METHOD,3,15,0,0
4074807,METHOD,1,3,0,0
4095182,METHOD,6,17,0,0
4097968,METHOD,1,3,0,0
4104993,METHOD,1,3,0,0
4106345,METHOD,3,9,0,0
4106430,METHOD,1,3,0,0
4112198,METHOD,2,7,0,0
4122935,METHOD,2,8,0,0
4124650,METHOD,1,3,0,0
4137834,METHOD,1,3,0,0
4138124,METHOD,2,10,0,0
4140191,METHOD,1,3,0,0
4195808,METHOD,1,3,0,0
4195038,METHOD,1,3,0,0
4197431,METHOD,1,3,0,0
4219128,METHOD,1,3,0,0
4217515,METHOD,1,3,0,0
4217323,CONSTRUCTOR,1,3,0,0
4218038,METHOD,3,4,0,0
4217192,METHOD,2,6,0,0
4232859,METHOD,1,3,0,0
4249533,METHOD,8,23,0,0
4273565,METHOD,1,3,0,0
4282272,CONSTRUCTOR,1,4,0,0
4282143,METHOD,1,3,0,0
4300952,METHOD,3,10,0,0
4298894,CONSTRUCTOR,1,3,0,0
4302593,METHOD,1,3,0,0
4301198,METHOD,1,3,0,0
4301341,METHOD,5,16,0,0
4301429,METHOD,1,4,0,0
4301650,METHOD,1,3,0,0
4301165,METHOD,2,10,0,0
4301991,METHOD,2,6,0,0
4301941,METHOD,1,3,0,0
4371699,METHOD,1,3,0,0
4371297,CONSTRUCTOR,1,4,0,0
4371368,METHOD,1,3,0,0
4371443,METHOD,1,3,0,0
4372641,METHOD,2,5,0,0
4404282,METHOD,1,38,0,0
4404036,CONSTRUCTOR,1,3,0,0
4431359,METHOD,1,3,0,0
4433943,METHOD,3,10,0,0
4433801,METHOD,1,4,0,0
4435454,METHOD,1,3,0,0
4434430,METHOD,1,6,0,0
4457799,METHOD,1,3,0,0
4456439,METHOD,1,4,0,0
4460754,METHOD,1,3,0,0
4462987,METHOD,3,14,0,0
4467152,METHOD,1,3,0,0
4490338,METHOD,18,61,0,0
4491391,METHOD,3,17,0,0
4490426,METHOD,12,54,0,0
4490936,METHOD,1,3,0,0
4494161,METHOD,2,10,0,0
4498016,METHOD,1,3,0,0
4496686,METHOD,4,18,0,0
4536178,CONSTRUCTOR,1,3,0,0
4578967,METHOD,2,8,0,0
4594104,METHOD,2,5,0,0
4600851,METHOD,1,2,0,0
4602475,METHOD,1,3,0,0
4602827,METHOD,4,23,0,0
4634262,METHOD,1,3,0,0
4661962,METHOD,1,3,0,0
4661344,METHOD,1,3,0,0
4667521,METHOD,1,3,0,0
4716573,METHOD,1,3,0,0
7341500,METHOD,2,3,0,0
4617521,METHOD,2,7,0,0
6778053,METHOD,1,3,0,0
3909025,METHOD,1,3,0,0
6297548,METHOD,2,6,0,0
4092105,METHOD,6,26,1,1
7416098,METHOD,1,4,0,1
6310643,METHOD,1,3,0,0
4275268,METHOD,1,3,0,0
8547408,METHOD,1,3,0,0
8837684,METHOD,2,8,0,0
8592348,METHOD,1,3,0,0
3809437,METHOD,2,6,0,0
6511643,METHOD,1,3,0,0
7218982,METHOD,1,3,0,0
8286887,METHOD,4,14,0,0
