id,McCabeCyclomaticComplexity,LinesOfCodeInCallable,NumberOfLambdaExpressionsInCallable,NumberOfMethodReferencesPerCallable,MaxNumberOfAddedLines,CodeChurn,NumberOfRevisions,MeanAuthorCommits,MaxNumberOfModifiedLines,Severity
0,1,2,0,0,4,4,1,7246.0,4,0
1,1,3,0,0,4,4,1,67.0,4,0
2,16,119,0,0,139,136,2,703.0,139,3
3,1,3,0,0,4,4,1,240.0,4,0
4,1,3,0,0,4,4,1,1840.0,4,0
5,1,4,0,0,4,5,5,235.0,6,0
6,1,3,0,0,4,4,2,956.0,4,0
7,1,2,0,0,4,4,1,415.0,4,0
8,1,3,0,0,21,-2,7,3443.0,47,0
9,1,3,0,0,4,4,1,522.0,4,0
10,1,4,0,0,5,7,2,261.5,7,0
11,1,3,0,0,4,4,1,1386.0,4,0
12,1,3,0,0,4,4,1,1386.0,4,0
13,1,3,0,0,4,4,1,121.0,4,0
14,1,4,0,0,5,5,1,467.0,5,0
15,1,7,0,0,8,8,1,64.0,8,0
16,1,3,0,0,5,5,1,6.0,5,0
17,2,12,0,0,13,13,2,203.0,22,0
18,1,16,0,0,12,17,19,185.0,16,1
19,1,3,0,0,4,4,1,77.0,4,0
20,2,6,0,0,7,7,1,1515.0,7,0
21,1,3,0,0,4,4,1,3136.0,4,0
22,1,5,0,0,6,6,1,628.0,6,0
23,1,3,0,0,4,4,1,28.0,4,0
24,2,8,0,0,9,9,1,28.0,9,0
25,1,3,0,0,4,4,2,3581.0,4,0
26,1,4,0,0,5,5,1,28.0,5,0
27,1,7,0,0,8,8,2,513.5,8,0
28,1,5,0,0,6,6,1,77.0,6,0
29,1,4,0,0,5,5,1,235.0,5,0
30,1,3,0,0,4,4,2,167.0,4,0
31,1,3,0,0,4,4,1,693.0,4,0
32,1,2,0,0,2,2,1,223.0,2,0
33,1,2,0,0,3,3,1,223.0,3,0
34,1,2,0,0,3,3,1,223.0,3,0
35,1,2,0,0,2,2,1,223.0,2,0
36,1,2,0,0,3,3,1,223.0,3,0
37,1,4,0,0,5,5,1,223.0,5,0
38,1,3,0,0,4,4,1,737.0,4,0
39,1,3,0,0,5,4,3,86.5,5,0
40,2,5,0,0,8,8,6,4945.5,8,0
41,10,54,0,0,66,69,4,9140.0,66,2
42,2,12,0,0,9,13,2,49.5,10,0
43,1,3,0,0,4,4,1,573.0,4,0
44,1,3,0,0,4,4,2,367.5,4,0
45,1,3,0,0,4,4,2,1729.0,4,0
46,1,3,0,0,4,4,1,107.0,4,0
47,3,22,0,0,23,23,2,1729.0,23,0
48,1,3,0,0,2,2,1,138.0,2,0
49,1,3,0,0,4,4,1,17014.0,4,0
50,1,12,0,0,12,13,2,36.5,12,0
51,1,5,0,0,6,6,2,17014.0,6,0
52,2,6,0,0,7,7,1,121.0,7,0
53,1,5,0,0,5,6,2,354.0,5,0
54,1,2,0,0,3,3,1,1873.0,3,0
55,1,2,0,0,3,3,1,120.0,3,0
56,1,2,0,0,3,3,1,1873.0,3,0
57,1,5,0,0,6,6,2,1918.0,6,0
58,1,3,0,0,4,4,1,66.0,4,0
59,1,11,0,0,12,12,1,117.0,12,0
60,1,6,0,0,6,7,7,3105.8,6,0
61,1,5,0,0,6,6,1,264.0,6,0
62,1,2,0,0,3,3,1,147.0,3,0
63,1,5,0,0,6,6,1,169.0,6,0
64,1,2,0,0,4,4,1,417.0,4,0
65,1,6,0,0,8,8,1,292.0,8,0
66,1,4,0,0,5,5,1,149.0,5,0
67,3,6,0,0,7,7,1,2678.0,7,0
68,1,4,0,0,5,5,1,3007.0,5,0
69,1,3,0,0,4,4,1,2678.0,4,0
70,1,3,0,0,4,4,1,486.0,4,0
71,1,4,0,0,5,5,2,248.5,5,0
72,1,4,0,0,5,5,2,62.0,5,0
73,1,3,0,0,4,4,1,5.0,4,0
74,1,4,0,0,5,5,2,230.5,5,0
75,1,3,0,0,4,4,3,518.5,4,0
76,1,4,0,0,5,5,1,550.0,5,0
77,1,3,0,0,4,4,1,2544.0,4,0
78,1,3,0,0,4,4,1,1496.0,4,0
79,1,6,0,0,7,7,4,1443.5,7,0
80,1,3,0,0,5,5,1,28.0,5,0
81,1,4,0,0,5,5,1,223.0,5,0
82,1,3,0,0,5,5,1,80.0,5,0
83,1,3,0,0,10,16,6,64.2,12,0
84,1,3,0,0,4,4,1,32.0,4,0
85,1,3,0,0,4,4,1,9.0,4,0
86,1,5,0,0,6,6,1,1898.0,6,0
87,1,3,0,0,4,4,1,3474.0,4,0
88,1,3,0,0,4,4,1,772.0,4,0
89,1,3,0,0,4,4,1,194.0,4,0
90,1,3,0,0,4,4,1,6.0,4,0
91,1,2,0,0,3,3,1,14.0,3,0
92,1,4,0,0,5,5,1,2297.0,5,0
93,1,4,0,0,5,5,1,5173.0,5,0
94,1,6,0,0,8,7,3,3118.0,8,0
95,1,3,0,0,4,4,1,231.0,4,0
96,1,5,0,0,5,6,2,84.0,5,0
97,2,9,0,0,10,10,1,641.0,10,0
98,1,3,0,0,4,4,2,1697.0,4,0
99,1,4,0,0,5,5,1,306.0,5,0
100,1,2,0,0,3,3,3,46.5,3,0
101,1,3,0,0,4,4,1,156.0,4,0
102,1,3,0,0,4,4,1,3.0,4,0
103,1,3,0,0,4,4,1,8532.0,4,0
104,1,3,0,0,4,4,1,237.0,4,0
105,1,3,0,0,4,4,1,39.0,4,0
106,1,3,0,0,4,4,1,3460.0,4,0
107,1,4,0,0,5,5,2,852.5,5,0
108,1,3,0,0,4,4,1,133.0,4,0
109,1,10,0,0,11,11,1,12.0,11,0
110,1,5,0,0,6,6,4,4001.5,8,0
111,7,27,0,0,34,39,4,64.0,34,1
112,1,9,0,0,10,10,1,26.0,10,0
113,2,3,0,0,4,4,1,2112.0,4,0
114,1,5,0,0,6,6,1,761.0,6,0
115,1,6,0,0,5,7,3,1426.5,5,0
116,5,22,0,0,25,25,1,388.0,25,0
117,1,8,0,0,9,9,1,94.0,9,0
118,2,8,0,0,27,11,2,38.5,28,0
119,3,20,0,0,16,20,3,1197.0,16,0
120,2,7,0,0,8,8,1,1127.0,8,0
121,1,5,0,0,6,6,1,28.0,6,0
122,4,23,0,0,35,34,5,854.5,35,0
123,1,5,0,0,6,6,1,1496.0,6,0
124,1,5,0,0,6,6,3,250.66666666666663,8,0
125,1,4,0,0,12,12,3,819.0,20,0
126,4,15,0,0,15,16,2,1575.5,15,0
127,3,16,0,1,15,18,3,3829.0,15,0
128,2,8,0,0,9,9,1,1464.0,9,0
129,1,41,0,0,43,43,1,23.0,43,0
130,2,6,0,0,12,12,3,772.0,12,0
131,1,13,0,0,13,14,3,1819.0,13,0
132,6,24,0,0,13,24,7,5146.0,13,1
133,1,5,0,0,6,6,2,16.5,6,0
134,1,8,0,0,6,9,9,637.3333333333334,6,0
135,1,3,0,0,6,5,6,106.2,6,0
136,1,7,0,0,9,9,1,28.0,9,0
137,1,6,0,0,7,7,1,1112.0,7,0
138,1,6,0,0,7,7,1,4.0,7,0
139,8,42,0,0,57,57,1,3829.0,57,1
140,7,36,0,0,32,36,2,1111.5,32,1
141,1,5,0,0,6,6,1,1632.0,6,0
142,1,5,0,0,6,6,1,516.0,6,0
143,1,5,0,0,6,6,2,1149.5,6,0
144,2,6,0,0,7,7,2,793.0,7,0
145,2,6,0,0,8,10,7,117.66666666666669,11,0
146,6,19,0,0,20,20,1,247.0,20,0
147,1,6,0,0,8,7,2,33.0,8,0
148,1,7,0,0,8,8,1,1241.0,8,0
149,1,5,0,0,5,6,3,1363.5,5,0
150,1,5,0,0,6,6,1,929.0,6,0
151,1,8,0,0,15,11,6,544.6666666666666,19,0
152,1,7,0,0,8,8,1,33.0,8,0
153,1,5,0,0,6,6,1,622.0,6,0
154,1,4,2,0,6,6,1,3829.0,6,0
155,2,9,0,0,11,11,2,2454.5,11,0
156,2,12,0,0,17,17,1,2728.0,17,0
157,1,6,0,0,7,7,1,482.0,7,0
158,1,5,0,0,6,6,1,69.0,6,0
159,1,7,0,0,9,8,2,305.0,9,0
160,1,7,0,0,8,8,1,3829.0,8,0
161,1,4,0,0,6,6,2,14.0,6,0
162,1,5,0,0,6,6,1,4.0,6,0
163,1,3,0,0,10,10,3,50.66666666666666,10,0
164,2,12,0,0,13,13,1,1127.0,13,0
165,1,7,0,0,8,8,1,1819.0,8,0
166,1,7,0,0,8,8,1,2748.0,8,0
167,1,5,0,0,6,6,1,1.0,6,0
168,1,4,0,0,5,5,1,1330.0,5,0
169,1,5,0,0,6,6,2,2416.0,6,0
170,1,8,0,0,9,9,1,3829.0,9,0
171,6,32,0,0,61,32,3,138.0,61,1
172,1,5,0,0,6,6,1,673.0,6,0
173,1,7,0,0,8,8,1,206.0,8,0
174,1,5,0,0,6,6,2,127.0,6,0
175,1,5,0,0,6,6,1,175.0,6,0
176,1,4,0,0,5,5,1,495.0,5,0
177,2,9,0,0,7,10,8,343.0,8,0
178,1,4,0,0,5,5,1,1299.0,5,0
179,2,5,0,0,6,6,1,89.0,6,0
180,4,17,0,0,18,18,2,3444.0,18,0
181,2,5,0,0,7,7,1,161.0,7,0
182,4,30,0,0,29,33,9,207.28571428571428,29,1
183,2,7,0,0,7,8,3,777.0,7,0
184,2,19,0,0,23,26,3,202.5,24,1
185,1,8,0,0,8,9,5,295.0,9,0
186,1,5,0,0,5,6,3,525.0,5,0
187,1,4,0,0,5,5,1,113.0,5,0
188,1,5,0,0,6,6,1,834.0,6,0
189,2,11,0,0,6,12,2,87.0,6,0
190,10,52,0,0,43,63,20,222.33333333333331,43,2
191,1,12,0,0,13,14,4,171.5,13,0
192,1,4,0,0,5,5,1,119.0,5,0
193,1,7,0,0,8,8,1,28.0,8,0
194,2,5,0,0,6,6,1,3185.0,6,0
195,1,7,0,0,8,8,1,673.0,8,0
196,3,22,0,0,31,31,1,1789.0,31,1
197,1,79,0,0,272,272,2,3829.0,272,3
198,1,5,0,0,6,6,2,1508.0,6,0
199,3,15,0,0,18,18,1,90.0,18,0
200,1,12,0,0,13,13,1,649.0,13,0
201,1,10,0,0,7,11,5,567.0,7,0
202,1,5,0,0,5,6,2,738.0,5,0
203,2,8,0,0,10,9,2,3829.0,10,0
204,1,5,0,0,6,6,2,425.0,6,0
205,2,12,0,0,16,16,1,522.0,16,0
206,1,3,0,0,6,6,2,2242.0,6,0
207,1,3,0,0,5,4,3,564.5,5,0
208,1,10,0,0,11,11,1,300.0,11,0
209,1,3,0,0,4,4,2,151.0,6,0
210,1,3,0,0,4,4,2,151.0,4,0
211,1,3,0,0,4,4,1,4681.0,4,0
212,2,10,0,0,11,11,1,553.0,11,0
213,1,3,0,0,4,4,1,23630.0,4,0
214,9,37,0,0,30,30,4,12871.0,32,1
215,4,15,0,0,19,18,2,11845.0,19,0
216,10,27,0,0,28,28,1,23630.0,28,0
217,2,6,0,0,7,7,3,8416.666666666666,8,0
218,2,9,0,0,10,10,3,23630.0,10,0
219,2,9,0,0,13,10,2,475.5,13,0
220,1,4,0,0,5,5,1,373.0,5,0
221,1,3,0,0,4,4,2,279.0,4,0
222,1,3,0,0,4,4,1,981.0,4,0
223,1,4,0,0,5,5,3,659.5,5,0
224,2,3,0,0,5,5,1,981.0,5,0
225,6,27,0,0,11,25,3,126.5,12,0
226,2,6,0,0,8,7,3,541.6666666666666,8,0
227,1,3,0,0,4,4,2,816.0,4,0
228,1,3,0,0,4,4,1,1679.0,4,0
229,1,3,0,0,4,4,2,1840.0,4,0
230,2,8,0,0,9,9,1,494.0,9,0
231,1,3,0,0,4,4,1,94.0,4,0
232,1,3,0,0,4,4,1,1.0,4,0
233,3,10,0,0,13,12,2,181.5,19,0
234,1,3,0,0,4,4,2,141.5,4,0
235,3,10,0,0,11,11,2,159.5,16,0
236,1,3,0,0,25,27,3,146.0,36,1
237,1,3,0,0,4,4,1,49.0,4,0
238,3,10,0,0,11,11,2,141.5,18,0
239,1,9,0,0,10,10,2,141.5,16,0
240,1,3,0,0,4,4,2,141.5,4,0
241,1,3,0,0,4,4,2,141.5,4,0
242,3,20,0,0,29,29,9,439.6666666666667,29,0
243,5,28,0,0,30,35,9,439.6666666666667,30,1
244,1,3,0,0,4,4,1,122.0,4,0
245,2,12,0,0,14,14,2,126.5,14,0
246,1,3,0,0,4,4,2,2112.0,4,0
247,1,3,0,0,5,5,2,219.0,5,0
248,1,3,0,0,4,4,3,3093.0,4,0
249,1,3,0,0,4,4,1,1074.0,4,0
250,5,21,0,0,36,36,2,5097.0,36,1
251,1,3,0,0,4,4,1,226.0,4,0
252,1,3,0,0,4,4,1,598.0,4,0
253,1,3,0,0,4,4,1,598.0,4,0
254,4,14,0,0,17,16,3,689.0,29,0
255,1,5,0,0,6,6,1,1638.0,6,0
256,3,8,0,0,10,10,3,656.3333333333334,10,0
257,1,3,0,0,4,4,3,750.6666666666666,4,0
258,2,3,0,0,7,4,2,116.5,7,0
259,8,13,0,0,14,14,3,1638.0,16,0
260,2,10,0,0,11,11,1,146.0,11,0
261,1,4,0,0,5,5,2,712.0,5,0
262,1,3,0,0,2,2,2,1758.0,2,0
263,1,3,0,0,2,2,1,1758.0,2,0
264,13,73,0,0,67,67,1,76.0,67,2
265,4,15,0,0,17,17,1,522.0,17,0
266,4,17,0,0,28,35,3,488.6666666666667,39,1
267,2,5,0,0,6,6,1,522.0,6,0
268,1,3,0,0,4,4,1,974.0,4,0
269,1,3,0,0,4,4,1,522.0,4,0
270,4,17,0,0,19,19,1,1127.0,19,0
271,5,20,0,0,25,30,2,455.5,25,1
272,1,3,0,0,4,4,1,105.0,4,0
273,1,3,0,0,4,4,1,467.0,4,0
274,1,3,0,0,4,4,1,369.0,4,0
275,3,10,0,0,11,11,1,29.0,11,0
276,1,6,0,0,7,7,1,15.0,7,0
277,1,4,0,0,27,6,7,339.8,49,0
278,3,7,0,0,8,8,1,5.0,8,0
279,1,3,0,0,4,4,1,230.0,4,0
280,1,3,0,0,4,4,1,369.0,4,0
281,1,12,0,0,16,16,1,99.0,16,0
282,10,41,0,0,36,36,1,99.0,36,0
283,1,3,0,0,4,4,1,125.0,4,0
284,1,3,0,0,4,4,1,125.0,4,0
285,2,8,0,0,16,16,1,37.0,16,0
286,1,3,0,0,4,4,1,386.0,4,0
287,1,3,0,0,4,4,2,661.0,4,0
288,3,10,0,0,11,11,1,661.0,11,0
289,1,3,0,0,4,4,1,661.0,4,0
290,1,3,0,0,4,4,2,793.0,4,0
291,1,3,0,0,4,4,2,141.5,4,0
292,1,3,0,0,8,4,4,793.0,8,0
293,1,3,0,0,7,10,5,2263.5,9,0
294,1,3,0,0,4,4,1,1.0,4,0
295,1,3,0,0,4,4,1,1112.0,4,0
296,1,3,0,0,4,4,1,67.0,4,0
297,1,4,0,0,5,5,1,2.0,5,0
298,2,7,0,0,8,8,1,67.0,8,0
299,4,12,0,0,12,12,1,67.0,12,0
300,3,13,0,0,11,13,4,2263.5,11,0
301,2,5,0,0,6,6,2,67.0,6,0
302,1,3,0,0,4,4,1,67.0,4,0
303,1,3,0,0,4,4,1,67.0,4,0
304,2,3,0,0,4,4,2,755.0,5,0
305,5,24,0,0,26,26,1,38.0,26,0
306,1,4,0,0,5,5,4,788.0,6,0
307,1,5,0,0,11,6,6,150.5,15,0
308,5,17,0,0,13,22,13,72.75,15,0
309,1,4,0,0,5,5,1,6.0,5,0
310,2,8,0,0,9,9,1,246.0,9,0
311,1,3,0,0,4,4,1,6.0,4,0
312,1,4,0,0,5,5,1,236.0,5,0
313,1,3,0,0,4,4,1,1515.0,4,0
314,2,8,0,0,9,9,3,250.5,9,0
315,1,3,0,0,4,4,1,1644.0,4,0
316,1,3,0,0,4,4,1,3.0,4,0
317,1,3,0,0,4,4,1,13.0,4,0
318,1,3,0,0,4,4,1,469.0,4,0
319,1,3,0,0,8,10,8,54.0,10,0
320,1,3,0,0,4,4,1,1.0,4,0
321,1,3,0,0,4,4,1,44.0,4,0
322,2,6,0,0,7,7,1,2.0,7,0
323,6,32,0,0,49,49,1,1515.0,49,1
324,1,3,0,0,4,4,2,179.5,4,0
325,1,4,0,0,5,5,1,270.0,5,0
326,1,3,0,0,4,4,2,118.5,4,0
327,2,11,0,0,12,12,1,3.0,12,0
328,1,5,0,0,6,6,1,30.0,6,0
329,1,3,0,0,4,4,1,3.0,4,0
330,1,3,0,0,6,4,2,36.0,6,0
331,2,11,0,0,16,16,1,6.0,16,0
332,1,5,0,0,6,6,1,1.0,6,0
333,1,3,0,0,4,4,1,1.0,4,0
334,1,5,0,0,6,6,1,8.0,6,0
335,1,3,0,0,4,4,1,1.0,4,0
336,1,5,0,0,6,6,1,36.0,6,0
337,1,5,0,0,6,6,1,30.0,6,0
338,2,6,0,0,5,7,2,1456.0,6,0
339,4,19,0,0,34,25,3,6.666666666666667,34,0
340,5,32,0,0,79,84,2,36.0,79,2
341,1,3,0,0,4,4,1,2.0,4,0
342,1,3,0,0,4,4,2,938.5,4,0
343,1,4,0,0,6,6,2,732.0,6,0
344,1,4,0,0,5,5,1,1241.0,5,0
345,1,3,0,0,4,4,1,1241.0,4,0
346,2,6,0,0,4,7,5,1054.0,5,0
347,4,19,0,0,23,22,2,747.0,23,0
348,1,3,0,0,4,5,6,690.5,4,0
349,2,15,0,0,17,17,1,747.0,17,1
350,1,3,0,0,4,4,1,3136.0,4,0
351,2,11,0,0,12,12,3,1798.5,12,0
352,1,3,0,0,4,4,1,181.0,4,0
353,1,3,0,0,4,4,1,628.0,4,0
354,2,7,0,0,8,8,2,87.0,12,0
355,1,6,0,0,7,7,1,89.0,7,0
356,1,4,0,0,5,5,1,89.0,5,0
357,1,5,0,0,6,6,1,89.0,6,0
358,2,7,0,0,13,12,2,7.0,13,0
359,5,32,0,0,80,80,1,3.0,80,2
360,1,3,0,0,4,4,1,28.0,4,0
361,1,3,0,0,4,4,1,28.0,4,0
362,1,3,0,0,4,4,1,28.0,4,0
363,1,3,0,0,4,4,1,28.0,4,0
364,1,3,0,0,4,4,1,25.0,4,0
365,1,3,0,0,4,4,1,28.0,4,0
366,1,3,0,0,4,4,2,8443.0,4,0
367,10,35,0,0,36,36,1,28.0,36,2
368,1,10,0,0,13,13,1,28.0,13,0
369,1,3,1,0,4,4,1,73.0,4,0
370,5,17,0,0,19,19,1,1035.0,19,0
371,1,3,0,0,2,2,1,97.0,2,0
372,1,3,0,0,4,4,1,797.0,4,0
373,2,6,0,0,7,7,1,61.0,7,0
374,1,3,0,0,4,4,1,97.0,4,0
375,4,12,0,0,16,16,1,127.0,16,0
376,1,3,0,0,4,4,1,33.0,4,0
377,1,3,0,0,4,4,1,97.0,4,0
378,1,3,0,0,4,4,1,57.0,4,0
379,1,6,0,0,7,7,1,856.0,7,0
380,1,3,0,0,4,4,1,729.0,4,0
381,1,3,0,0,4,4,3,458.5,4,0
382,1,4,1,1,10,9,3,1118.0,11,0
383,1,3,0,0,4,4,1,442.0,4,0
384,1,3,0,0,4,4,1,722.0,4,0
385,4,17,0,0,18,18,1,856.0,18,0
386,4,17,0,0,18,18,1,118.0,18,0
387,2,6,0,0,7,7,1,1466.0,7,0
388,1,3,0,0,4,4,1,747.0,4,0
389,1,7,0,0,8,8,2,113.0,8,0
390,2,7,0,0,8,8,2,2812.0,8,0
391,1,3,0,0,4,4,1,4917.0,4,0
392,1,3,0,0,8,4,2,4917.0,8,0
393,1,4,0,0,5,5,1,4917.0,5,0
394,1,12,0,0,16,16,1,161.0,16,0
395,1,3,0,0,4,4,1,737.0,4,0
396,1,4,0,0,5,5,1,2150.0,5,0
397,1,2,0,0,3,3,1,130.0,3,0
398,1,3,0,0,4,4,1,4917.0,4,0
399,2,11,0,0,12,12,1,312.0,12,0
400,1,5,1,0,6,6,1,111.0,6,0
401,1,3,0,0,4,4,1,319.0,4,0
402,6,21,0,0,22,22,1,132.0,22,0
403,1,5,1,0,6,6,1,111.0,6,0
404,1,4,0,0,5,5,1,52.0,5,0
405,1,3,0,0,5,5,1,228.0,5,0
406,4,16,0,0,17,17,1,5.0,17,0
407,2,9,0,0,11,11,1,4354.0,11,0
408,1,3,0,0,4,4,4,265.3333333333333,4,0
409,26,73,0,0,106,113,7,9140.0,106,2
410,1,3,0,0,4,4,1,9140.0,4,0
411,1,6,0,0,7,7,1,122.0,7,0
412,1,3,0,0,4,4,1,2674.0,4,0
413,4,12,0,0,13,13,1,2674.0,13,0
414,1,3,0,0,4,4,1,2674.0,4,0
415,1,5,0,0,7,7,1,52.0,7,0
416,1,9,0,0,10,10,1,2674.0,10,0
417,2,3,0,0,5,5,2,817.0,5,0
418,1,3,0,0,4,4,1,9.0,4,0
419,1,5,0,0,6,6,1,1944.0,6,0
420,2,7,0,0,8,8,1,888.0,8,0
421,1,5,0,0,6,6,3,77.0,6,0
422,1,3,0,0,4,4,1,206.0,4,0
423,1,11,0,0,12,12,1,206.0,12,0
424,1,3,0,0,4,4,1,42.0,4,0
425,1,4,0,0,6,6,1,191.0,6,0
426,1,3,0,0,4,4,1,3323.0,4,0
427,2,8,0,0,10,10,7,3323.0,10,0
428,1,3,0,0,4,4,1,227.0,4,0
429,4,18,0,0,19,19,1,146.0,19,0
430,1,3,0,0,4,4,1,3257.0,4,0
431,1,3,0,0,4,4,1,1340.0,4,0
432,1,3,0,0,4,4,2,3323.0,4,0
433,3,8,0,0,9,9,1,3323.0,9,0
434,4,11,0,0,13,13,2,9140.0,13,0
435,1,9,0,0,16,16,1,122.0,16,0
436,1,3,0,0,4,4,1,964.0,4,0
437,1,3,0,0,4,4,1,964.0,4,0
438,2,8,0,0,9,9,3,582.0,9,0
439,1,3,0,0,4,4,1,433.0,4,0
440,1,3,0,0,4,4,1,119.0,4,0
441,2,7,0,0,8,8,1,780.0,8,0
442,1,6,0,0,7,7,1,180.0,7,0
443,3,12,0,0,13,13,2,653.0,13,0
444,1,3,0,0,4,4,1,506.0,4,0
445,1,3,0,0,4,4,1,9.0,4,0
446,1,3,0,0,4,4,1,507.0,4,0
447,1,3,0,0,4,4,1,573.0,4,0
448,2,11,1,0,14,14,1,1340.0,14,0
449,3,10,0,0,23,13,6,429.6666666666667,23,0
450,1,3,0,0,4,4,1,276.0,4,0
451,12,58,0,0,38,50,13,448.0,38,2
452,3,11,0,0,13,13,3,1729.0,13,0
453,1,3,0,0,2,2,1,107.0,2,0
454,1,3,0,0,2,2,1,107.0,2,0
455,1,3,0,0,4,4,1,107.0,4,0
456,3,18,0,0,23,23,1,31.0,23,0
457,1,3,0,0,4,4,1,216.0,4,0
458,5,15,0,0,16,16,1,161.0,16,0
459,1,3,0,0,4,4,1,3444.0,4,0
460,2,21,0,0,19,19,1,455.0,19,0
461,4,23,0,0,27,27,2,107.0,27,0
