id,McCabeCyclomaticComplexity,LinesOfCodeInCallable,NumberOfLambdaExpressionsInCallable,NumberOfMethodReferencesPerCallable,Severity
774,3,14,0,0,0
775,1,4,0,0,0
776,1,5,0,0,0
777,1,3,0,0,0
778,4,11,0,0,0
779,17,61,0,0,3
780,1,3,0,0,0
781,1,8,0,0,0
782,1,3,0,0,0
783,1,3,0,0,0
784,1,3,0,0,0
785,2,7,0,0,0
786,2,6,0,0,0
787,1,3,0,0,0
788,1,3,0,0,0
789,1,3,0,0,0
790,1,3,0,0,0
791,1,6,0,0,0
792,1,3,0,0,0
793,4,20,0,0,0
794,1,3,0,0,0
795,1,3,0,0,0
796,1,3,0,0,0
797,4,14,0,0,0
798,1,3,0,0,0
799,1,3,0,0,0
800,1,3,0,0,0
801,1,3,0,0,0
802,4,23,0,0,0
803,2,4,0,0,0
804,2,8,0,0,0
805,5,15,0,0,0
806,1,24,0,0,0
807,1,4,0,0,0
808,3,10,0,1,0
809,1,7,0,0,0
810,2,6,0,0,0
811,1,3,0,0,0
812,1,3,0,0,0
813,1,12,0,0,0
814,13,37,0,0,1
815,1,3,0,0,0
816,1,3,0,0,0
817,5,12,0,0,0
818,12,46,0,0,1
819,2,16,0,0,0
820,2,21,0,0,0
821,4,11,0,0,0
822,1,3,0,0,0
823,2,27,0,0,0
824,1,3,0,0,0
825,1,3,0,0,0
826,6,53,0,0,2
827,1,3,0,0,0
828,3,11,0,0,0
829,1,3,0,0,0
830,8,35,0,0,1
831,10,33,0,0,2
832,1,3,0,0,0
833,1,6,0,0,0
834,1,3,0,0,0
835,17,75,0,0,3
836,5,17,0,0,0
837,1,4,0,0,0
838,1,5,0,0,0
839,1,3,0,0,0
840,1,4,0,0,0
841,1,3,0,0,0
842,1,3,0,0,0
843,8,37,0,0,2
844,1,3,0,0,0
845,3,11,0,0,0
846,1,3,0,0,0
847,1,3,0,0,0
848,1,2,0,0,0
849,9,37,0,0,1
850,1,4,0,0,0
851,1,3,0,0,0
852,3,9,0,0,0
853,1,4,0,0,0
854,1,9,0,0,0
855,1,3,0,0,0
856,1,3,0,0,0
857,1,3,0,0,0
858,1,3,0,0,0
859,1,4,1,0,0
860,1,3,0,0,0
861,3,7,0,0,0
862,1,3,0,0,0
863,1,3,0,0,0
864,1,17,0,0,0
865,2,8,0,0,0
866,4,25,0,0,1
867,1,3,0,0,0
868,12,50,0,0,2
869,1,3,0,0,0
870,2,6,0,0,0
871,3,8,0,0,0
872,1,3,0,0,0
873,2,3,0,0,0
874,1,3,0,0,0
875,3,19,0,0,1
876,2,7,0,0,0
877,1,3,0,0,0
878,1,3,0,0,0
879,3,28,1,0,2
880,1,3,0,0,0
881,4,14,0,0,0
882,1,3,0,0,0
883,1,3,0,0,0
884,1,3,0,0,0
885,1,3,0,0,0
886,1,4,0,0,0
887,1,3,0,0,0
888,1,12,0,0,0
889,3,11,0,0,0
890,1,3,0,0,0
891,4,25,0,0,0
892,7,32,0,0,2
893,1,3,0,0,0
894,1,3,0,0,0
895,5,14,0,0,0
896,1,3,0,0,0
897,2,7,0,0,0
898,1,3,0,0,0
899,6,21,0,0,1
900,1,33,0,0,1
901,1,6,0,0,0
902,1,3,0,0,0
903,1,3,0,0,0
904,1,3,0,0,0
905,2,6,0,0,0
906,1,3,0,0,0
907,1,3,0,0,0
908,3,10,0,0,0
909,6,16,0,0,1
910,3,9,0,0,0
911,2,6,0,0,0
912,3,18,0,0,1
913,1,3,0,0,0
914,5,46,0,0,2
915,1,3,0,0,0
916,1,3,0,0,0
917,8,30,0,0,2
918,1,4,0,0,0
919,6,27,0,0,1
920,1,3,0,0,0
921,1,4,0,0,0
922,1,3,0,0,0
923,1,3,0,0,0
924,1,3,0,0,0
925,1,4,0,0,0
926,1,3,0,0,0
927,1,3,0,0,0
928,1,4,0,0,0
929,1,3,0,0,0
930,1,3,0,0,0
931,1,3,0,0,0
932,2,20,0,0,0
933,1,3,0,0,0
934,1,3,0,0,0
935,1,13,0,0,0
936,1,4,0,0,0
937,1,3,0,0,0
938,4,14,0,0,0
939,2,9,0,0,0
940,5,13,0,0,0
941,1,3,0,0,0
942,2,7,0,0,0
943,1,3,0,0,0
944,6,9,0,0,0
945,4,17,0,0,0
946,11,45,0,0,2
947,1,3,0,0,0
948,1,3,0,0,0
949,1,3,0,0,0
950,2,8,0,0,0
951,3,12,0,0,0
952,5,25,0,0,0
953,1,4,0,0,0
954,1,2,0,0,0
955,1,3,0,0,0
956,2,9,0,0,0
957,1,4,0,0,0
958,1,3,0,0,0
959,6,24,0,0,1
960,1,3,0,0,0
961,1,3,0,0,0
962,1,3,0,0,0
963,3,12,0,0,0
964,1,3,0,0,0
965,2,5,0,0,0
966,1,3,0,0,0
967,3,8,0,0,0
968,1,3,0,0,0
969,1,3,0,0,0
970,1,3,0,0,0
971,4,12,0,0,0
972,2,7,0,0,0
973,1,3,0,0,0
974,1,3,0,0,0
975,1,3,0,0,0
976,4,29,0,0,0
977,1,3,0,0,0
978,3,3,0,0,0
979,1,6,0,0,0
980,1,3,2,0,0
981,1,3,0,0,0
982,9,88,5,1,3
983,1,3,0,0,0
984,2,6,0,0,0
985,1,3,0,0,0
986,1,4,0,0,0
987,2,3,0,0,0
988,3,8,0,0,0
989,8,52,2,0,2
990,1,3,0,0,0
991,1,3,0,0,0
992,2,7,0,0,0
993,1,7,0,0,0
994,2,7,0,0,0
995,1,3,0,0,0
996,5,28,0,0,0
997,1,3,0,0,0
998,1,5,0,0,0
999,2,22,0,0,0
1000,5,13,0,0,0
1001,1,5,0,0,0
1002,1,4,0,0,0
1003,2,11,0,0,0
1004,3,9,0,0,0
1005,4,17,0,0,1
1006,1,26,6,0,1
1007,2,6,0,0,0
1008,4,16,0,0,0
1009,15,76,0,0,3
1010,1,3,0,0,0
1011,4,15,0,0,0
1012,1,6,0,0,0
1013,3,9,0,0,0
1014,1,3,0,0,0
1015,11,38,0,0,2
1016,3,15,0,0,0
1017,1,3,0,0,0
1018,1,6,0,0,0
1019,4,20,0,0,0
1020,13,34,0,0,1
1021,2,8,0,0,0
1022,7,22,0,0,0
1023,6,17,0,0,0
1024,2,7,0,0,0
1025,4,17,0,0,0
1026,9,32,0,0,0
1027,1,4,0,0,0
1028,4,12,0,0,0
1029,5,26,0,0,0
1030,3,7,0,0,0
1031,2,6,0,0,0
1032,1,5,0,0,0
1033,3,7,0,0,0
1034,4,13,0,0,0
1035,1,10,0,0,0
1036,1,6,0,0,0
1037,25,98,0,0,2
1038,6,35,0,0,2
1039,1,3,0,0,0
1040,16,59,0,0,2
1041,1,3,0,0,0
1042,1,9,0,0,0
1043,5,17,1,0,0
1044,1,5,0,0,0
1045,6,20,0,0,0
1046,2,6,0,0,0
1047,1,3,0,0,0
1048,3,11,0,0,0
1049,2,7,0,0,0
1050,3,18,0,0,0
1051,7,20,0,0,0
1052,3,8,0,0,0
1053,2,6,0,0,0
1054,2,10,0,0,0
1055,2,12,0,0,0
1056,7,18,0,0,0
1057,9,27,0,0,0
1058,3,11,0,2,0
1059,1,3,0,0,0
1060,2,9,1,0,0
1061,4,20,0,0,1
1062,2,5,0,0,0
1063,3,9,0,0,0
1064,3,9,0,0,0
1065,3,7,0,0,0
1066,2,6,0,0,0
1067,2,10,0,0,0
1068,7,27,0,0,1
1069,1,3,0,0,0
1070,3,18,0,0,1
1071,1,12,0,0,0
1072,2,3,0,0,0
1073,6,17,0,0,0
1074,3,11,0,0,0
1075,6,25,0,0,1
1076,1,4,0,0,0
1077,3,14,0,0,0
1078,5,13,0,0,0
1079,2,8,0,0,0
1080,1,5,0,0,0
1081,7,31,0,0,1
1082,4,18,0,0,0
1083,1,5,0,0,0
1084,2,6,0,0,0
1085,1,3,1,0,0
1086,1,4,0,0,0
1087,1,4,0,0,0
1088,1,3,0,0,0
1089,2,6,0,0,0
1090,3,12,0,0,0
1091,1,3,0,0,0
1092,5,29,0,0,0
1093,3,12,0,0,0
1094,2,6,0,0,0
1095,7,24,0,0,0
1096,18,85,0,0,2
1097,1,3,0,0,0
1098,1,7,0,0,0
1099,2,7,0,0,0
1100,7,40,0,0,2
1101,5,18,0,0,0
1102,1,3,0,0,0
1103,2,5,0,0,0
1104,3,12,0,0,0
1105,1,5,0,0,0
1106,1,3,0,0,0
1107,2,14,0,0,0
1108,2,5,0,0,0
1109,2,9,0,0,0
1110,4,16,0,0,0
1111,1,5,0,0,0
1112,3,17,0,0,0
1113,2,18,0,0,0
1114,2,12,0,0,0
1115,1,35,0,0,0
1116,1,5,0,0,0
1117,2,6,0,0,0
1118,1,13,0,0,0
1119,4,17,0,0,0
1120,1,5,0,0,0
1121,1,5,0,0,0
1122,1,5,0,0,0
1123,3,16,0,0,0
1124,4,21,0,0,1
1125,1,3,0,0,0
1126,3,11,0,0,0
1127,1,3,0,0,0
1128,4,14,0,0,0
1129,1,5,0,3,0
1130,4,14,0,0,0
1131,2,6,0,0,0
1132,4,18,0,0,0
1133,2,7,0,0,0
1134,2,5,0,0,0
1135,4,12,0,0,0
1136,2,14,0,0,0
1137,2,7,0,0,0
1138,2,51,0,0,2
1139,7,44,0,0,2
1140,2,7,0,0,0
1141,8,23,0,0,0
1142,6,21,0,0,0
1143,2,11,0,0,0
1144,3,13,0,0,0
1145,2,8,0,0,0
1146,5,22,0,0,0
1147,1,4,0,0,0
1148,2,7,0,0,0
1149,3,10,0,0,0
1150,1,3,0,0,0
1151,1,5,0,0,0
1152,1,4,0,0,0
1153,2,7,0,0,0
1154,1,22,0,0,1
1155,1,3,0,0,0
1156,7,30,1,0,1
1157,8,41,0,0,0
1158,1,3,0,0,0
1159,1,17,0,0,0
1160,6,19,0,0,0
1161,3,14,0,0,0
1162,2,5,0,0,0
1163,7,25,0,0,0
1164,2,19,0,0,0
1165,1,4,1,0,0
1166,7,19,0,0,0
1167,3,9,0,0,0
1168,1,4,0,0,0
1169,1,3,0,0,0
1170,2,10,0,0,0
1171,1,22,0,0,1
1172,1,3,0,0,0
1173,2,7,0,0,0
1174,5,21,0,0,0
1175,1,3,0,0,0
1176,2,6,0,0,0
1177,3,9,0,0,0
1178,5,21,0,0,0
1179,2,11,1,0,0
1180,2,19,0,0,0
1181,2,6,0,0,0
1182,4,15,0,0,0
1183,1,5,0,0,0
1184,6,22,0,0,0
1185,2,5,0,0,0
1186,4,13,0,0,0
1187,2,6,0,0,0
1188,3,8,0,0,0
1189,1,25,0,0,0
1190,1,4,0,0,0
1191,1,3,0,0,0
1192,4,13,0,0,0
1193,2,6,0,0,0
1194,2,7,0,0,0
1195,5,25,0,0,0
1196,5,20,0,0,1
1197,1,4,0,0,0
1198,2,8,0,0,0
1199,1,4,0,0,0
1200,3,16,0,1,0
1201,1,12,0,0,0
1202,1,5,0,0,0
1203,1,3,0,0,0
1204,1,7,0,0,0
1205,2,19,0,0,0
1206,1,9,0,0,0
1207,1,3,0,0,0
1208,4,7,0,0,0
1209,1,4,0,0,0
1210,2,7,0,0,0
1211,4,11,0,0,0
1212,2,5,0,0,0
1213,1,5,0,0,0
1214,3,11,0,0,0
1215,4,16,0,0,0
1216,2,9,0,0,0
1217,3,10,0,0,0
1218,2,5,0,0,0
1219,2,8,0,0,0
1220,3,22,0,0,0
1221,2,8,0,0,0
1222,2,5,0,0,0
1223,1,8,0,0,0
1224,3,10,0,0,0
1225,4,23,0,0,0
1226,12,56,0,0,0
1227,4,12,0,0,0
1228,1,6,0,0,0
1229,1,3,0,0,0
1230,2,8,0,0,0
1231,3,18,0,0,0
1232,2,3,0,0,0
1233,2,7,0,0,0
1234,1,3,0,0,0
1235,2,6,0,0,0
1236,5,18,0,0,0
1237,1,3,0,0,0
1238,15,70,0,0,2
1239,1,4,0,0,0
1240,5,19,0,0,1
1241,7,19,0,0,0
1242,1,5,0,0,0
1243,2,15,0,0,0
1244,2,7,0,0,0
1245,3,9,0,0,0
1246,3,9,0,0,0
1247,1,3,0,0,0
1248,1,4,0,0,0
1249,2,6,0,0,0
1250,2,7,0,0,0
1251,3,18,0,0,0
1252,2,7,0,0,0
1253,4,17,0,0,0
1254,1,3,0,0,0
1255,8,25,0,0,0
1256,3,12,0,0,0
1257,2,9,0,0,0
1258,2,7,0,0,0
1259,7,24,0,0,0
1260,11,56,0,0,3
1261,2,7,0,0,0
1262,1,3,0,0,0
1263,3,10,0,0,0
1264,2,7,0,0,0
1265,4,16,0,0,0
1266,2,9,0,0,0
1267,1,3,0,0,0
1268,2,10,0,0,0
1269,3,9,0,0,0
1270,1,6,3,0,0
1271,1,5,0,0,0
1272,2,8,0,0,0
1273,1,8,0,0,0
1274,1,6,0,0,0
1275,4,10,0,0,0
1276,1,17,0,0,0
1277,2,14,0,0,0
1278,2,6,0,0,0
1279,1,3,0,0,0
1280,2,8,0,0,0
1281,2,5,0,0,0
1282,3,15,0,0,0
1283,1,4,0,0,0
1284,1,9,0,0,0
1285,3,10,0,0,0
1286,1,3,0,0,0
1287,2,6,0,0,0
1288,1,37,0,0,3
1289,5,26,0,0,2
1290,9,42,0,0,2
1291,1,31,0,0,2
1292,2,4,0,0,0
1293,1,3,0,0,0
1294,3,14,0,0,0
1295,2,3,0,0,0
1296,8,38,0,0,1
1297,4,16,0,0,0
1298,2,8,0,0,0
1299,1,5,0,0,0
1300,2,8,0,0,0
1301,6,21,0,0,0
1302,2,7,0,0,0
1303,2,8,0,0,0
1304,6,15,0,0,0
1305,2,5,0,0,0
1306,2,8,0,0,0
1307,3,12,0,0,0
1308,1,7,0,0,0
1309,3,7,0,0,0
1310,1,5,0,0,0
1311,1,6,0,0,0
1312,3,9,0,0,0
1313,1,12,0,0,0
1314,3,13,0,0,0
1315,2,4,0,0,0
1316,6,36,0,0,1
1317,4,15,0,0,0
1318,1,9,0,0,0
1319,7,24,0,0,1
1320,2,9,0,0,0
1321,2,11,0,0,0
1322,1,4,0,0,0
1323,2,5,0,0,0
1324,1,3,0,0,0
1325,2,7,0,0,0
1326,2,6,0,0,0
1327,1,3,0,0,0
1328,6,27,0,0,0
1329,4,12,0,0,0
1330,3,8,0,0,0
1331,1,8,0,0,0
1332,2,8,0,0,0
1333,1,11,0,0,0
1334,1,6,0,0,0
1335,7,32,0,0,0
1336,4,14,0,0,0
1337,2,10,0,0,0
1338,33,117,0,0,3
1339,1,3,0,0,0
1340,2,6,0,0,0
1341,3,18,0,0,0
1342,1,3,0,0,0
1343,1,5,0,1,0
1344,1,6,0,0,0
1345,1,4,0,0,0
1346,1,6,0,0,0
1347,1,3,0,0,0
1348,1,6,0,0,0
1349,2,18,0,0,0
1350,7,39,0,0,2
1351,1,4,0,0,0
1352,3,17,0,0,0
1353,2,8,0,0,0
1354,2,7,0,0,0
1355,3,13,0,0,0
1356,5,14,0,0,0
1357,1,4,0,0,0
1358,2,17,0,0,0
1359,1,6,0,0,0
1360,8,40,0,0,1
1361,2,5,0,0,0
1362,1,6,0,0,0
1363,5,20,0,0,0
1364,1,3,0,0,0
1365,2,6,0,0,0
1366,1,3,0,0,0
1367,2,11,0,0,0
1368,8,20,0,0,0
1369,3,9,0,0,0
1370,15,38,0,0,1
1371,5,31,0,0,0
1372,2,7,0,0,0
1373,2,9,0,0,0
1374,6,16,0,0,0
1375,2,10,0,0,0
1376,1,3,0,0,0
1377,1,10,0,0,0
1378,3,11,0,0,0
1379,3,10,0,0,0
1380,1,3,0,0,0
1381,1,3,0,0,0
1382,3,10,0,0,0
1383,12,29,0,0,2
1384,2,5,0,0,0
1385,1,7,0,0,0
1386,3,11,0,0,0
1387,2,3,0,0,0
1388,6,20,0,0,0
1389,3,7,0,0,0
1390,5,44,0,0,1
1391,1,5,0,0,0
1392,4,50,0,0,0
1393,1,5,1,3,0
1394,10,37,0,0,1
1395,1,3,0,0,0
1396,4,14,0,0,0
1397,1,3,0,0,0
1398,2,8,0,0,0
1399,1,4,1,0,0
1400,1,5,0,0,0
1401,11,53,0,0,3
1402,6,24,0,0,1
1403,2,14,0,0,0
1404,1,5,0,0,0
1405,1,3,0,0,0
1406,1,5,0,0,0
1407,9,39,0,0,2
1408,1,4,0,0,0
1409,2,7,0,0,0
1410,4,15,0,0,0
1411,6,17,0,0,0
1412,1,3,0,0,0
1413,1,5,0,0,0
1414,3,8,0,0,0
1415,4,17,0,0,0
1416,2,5,0,0,0
1417,1,3,0,0,0
1418,3,24,1,0,2
1419,11,67,0,0,3
1420,1,7,0,0,0
1421,2,6,0,0,0
1422,1,5,0,0,0
1423,3,12,0,0,0
1424,1,3,0,0,0
1425,1,12,0,0,0
1426,2,8,0,0,0
1427,2,7,0,0,0
1428,3,10,0,0,0
1429,2,10,0,0,0
1430,6,18,0,0,1
1431,5,28,0,0,1
1432,4,12,0,0,0
1433,2,9,0,0,0
1434,3,8,0,0,0
1435,6,18,0,0,0
1436,1,4,0,0,0
1437,2,9,0,0,0
1438,1,5,5,0,0
1439,3,14,0,0,0
1440,3,13,0,0,0
1441,1,3,0,0,0
1442,2,12,0,0,0
1443,7,16,0,0,0
1444,2,11,0,0,0
1445,8,27,0,0,0
1446,1,3,0,0,0
1447,5,14,0,0,0
1448,1,3,0,0,0
1449,1,7,4,0,0
1450,1,7,0,0,0
1451,2,20,0,0,0
1452,2,8,0,0,0
1453,1,7,3,0,0
1454,4,10,0,0,0
1455,1,8,0,0,0
1456,1,3,0,0,0
1457,1,5,0,0,0
1458,1,3,0,0,0
1459,3,8,0,0,0
1460,2,10,0,0,0
1461,10,31,0,0,0
1462,2,15,0,0,0
1463,1,3,0,0,0
1464,19,66,0,0,2
1465,3,14,0,0,0
1466,6,30,1,0,1
1467,2,7,0,0,0
1468,1,4,0,0,0
1469,5,24,0,0,0
1470,2,7,0,0,0
1471,7,23,0,0,1
1472,3,6,0,0,0
1473,3,11,0,0,0
1474,3,17,0,0,0
1475,6,11,0,0,0
1476,1,3,0,0,0
1477,1,6,0,0,0
1478,2,8,0,0,0
1479,2,7,0,0,0
1480,9,31,0,0,0
1481,3,45,0,0,2
1482,1,5,0,0,0
1483,2,8,0,0,0
1484,1,3,0,0,0
1485,15,65,0,0,3
1486,10,81,0,0,2
1487,6,36,0,0,0
1488,2,11,0,0,0
1489,1,3,0,0,0
1490,2,4,0,0,0
1491,3,9,0,0,0
1492,9,47,0,0,2
1493,3,10,0,0,0
1494,2,6,0,0,0
1495,1,3,0,0,0
1496,1,12,0,0,0
1497,3,9,0,0,0
1498,2,7,0,0,0
1499,2,6,0,0,0
1500,2,6,0,0,0
1501,2,6,0,0,0
1502,2,16,0,0,0
1503,11,46,0,0,2
1504,2,9,0,0,0
